Model,Question,criterion,mean_value
GPT4,Q17,Factuality,2.6666666666666665
GPT4,Q17,Generalization,3.0
GPT4,Q17,Irrelevance,4.0
GPT4,Q17,Narrativity,3.6666666666666665
GPT4,Q17,Recall,3.6666666666666665
GPT4,Q17,Reduction,3.0
GPT4,Q17,Repetetion,3.3333333333333335
GPT4,Q18,Ambiguity,3.6666666666666665
GPT4,Q18,Factuality,3.3333333333333335
GPT4,Q18,Generalization,3.0
GPT4,Q18,Irrelevance,5.0
GPT4,Q18,Narrativity,3.3333333333333335
GPT4,Q18,Recall,3.6666666666666665
GPT4,Q18,Reduction,3.0
GPT4,Q18,Repetetion,2.3333333333333335
GPT4,Q19,Ambiguity,3.0
GPT4,Q19,Factuality,3.0
GPT4,Q19,Generalization,2.6666666666666665
GPT4,Q19,Irrelevance,5.0
GPT4,Q19,Narrativity,4.0
GPT4,Q19,Recall,4.0
GPT4,Q19,Reduction,3.3333333333333335
GPT4,Q19,Repetetion,3.0
GPT4,Q2,Ambiguity,3.0
GPT4,Q2,Factuality,2.25
GPT4,Q2,Generalization,3.5
GPT4,Q2,Irrelevance,5.0
GPT4,Q2,Narrativity,3.5
GPT4,Q2,Recall,2.5
GPT4,Q2,Reduction,2.75
GPT4,Q2,Repetetion,5.0
GPT4,Q20,Ambiguity,2.6666666666666665
GPT4,Q20,Factuality,1.3333333333333333
GPT4,Q20,Generalization,2.0
GPT4,Q20,Irrelevance,1.6666666666666667
GPT4,Q20,Narrativity,3.0
GPT4,Q20,Recall,1.3333333333333333
GPT4,Q20,Reduction,2.0
GPT4,Q20,Repetetion,3.6666666666666665
GPT4,Q21,Ambiguity,3.3333333333333335
GPT4,Q21,Factuality,3.6666666666666665
GPT4,Q21,Generalization,2.6666666666666665
GPT4,Q21,Irrelevance,4.5
GPT4,Q21,Narrativity,4.0
GPT4,Q21,Recall,4.0
GPT4,Q21,Reduction,3.3333333333333335
GPT4,Q21,Repetetion,3.0
GPT4,Q22,Ambiguity,3.0
GPT4,Q22,Factuality,2.6666666666666665
GPT4,Q22,Generalization,2.6666666666666665
GPT4,Q22,Irrelevance,3.0
GPT4,Q22,Narrativity,3.3333333333333335
GPT4,Q22,Recall,3.0
GPT4,Q22,Reduction,3.3333333333333335
GPT4,Q22,Repetetion,3.0
GPT4,Q23,Ambiguity,3.0
GPT4,Q23,Factuality,2.0
GPT4,Q23,Generalization,3.3333333333333335
GPT4,Q23,Irrelevance,4.5
GPT4,Q23,Narrativity,4.0
GPT4,Q23,Recall,3.3333333333333335
GPT4,Q23,Reduction,3.0
GPT4,Q23,Repetetion,3.0
GPT4,Q24,Ambiguity,3.0
GPT4,Q24,Factuality,3.3333333333333335
GPT4,Q24,Generalization,4.333333333333333
GPT4,Q24,Irrelevance,4.666666666666667
GPT4,Q24,Narrativity,4.333333333333333
GPT4,Q24,Recall,3.0
GPT4,Q24,Reduction,3.3333333333333335
GPT4,Q24,Repetetion,3.6666666666666665
GPT4,Q3,Ambiguity,3.3333333333333335
GPT4,Q3,Factuality,2.6666666666666665
GPT4,Q3,Generalization,3.0
GPT4,Q3,Irrelevance,4.0
GPT4,Q3,Narrativity,3.0
GPT4,Q3,Recall,3.3333333333333335
GPT4,Q3,Reduction,3.6666666666666665
GPT4,Q3,Repetetion,5.0
GPT4,Q4,Ambiguity,3.25
GPT4,Q4,Factuality,2.5
GPT4,Q4,Generalization,3.5
GPT4,Q4,Irrelevance,5.0
GPT4,Q4,Narrativity,3.0
GPT4,Q4,Recall,2.5
GPT4,Q4,Reduction,3.25
GPT4,Q4,Repetetion,3.5
GPT4,Q5,Ambiguity,2.6666666666666665
GPT4,Q5,Factuality,3.3333333333333335
GPT4,Q5,Generalization,3.0
GPT4,Q5,Irrelevance,4.666666666666667
GPT4,Q5,Narrativity,2.6666666666666665
GPT4,Q5,Recall,4.0
GPT4,Q5,Reduction,2.3333333333333335
GPT4,Q5,Repetetion,4.0
GPT4,Q6,Ambiguity,3.0
GPT4,Q6,Factuality,3.3333333333333335
GPT4,Q6,Generalization,3.0
GPT4,Q6,Irrelevance,4.0
GPT4,Q6,Narrativity,3.3333333333333335
GPT4,Q6,Recall,3.6666666666666665
GPT4,Q6,Reduction,2.6666666666666665
GPT4,Q6,Repetetion,5.0
GPT4,Q7,Ambiguity,3.3333333333333335
GPT4,Q7,Factuality,2.6666666666666665
GPT4,Q7,Generalization,2.6666666666666665
GPT4,Q7,Irrelevance,3.6666666666666665
GPT4,Q7,Narrativity,4.333333333333333
GPT4,Q7,Recall,2.3333333333333335
GPT4,Q7,Reduction,3.0
GPT4,Q7,Repetetion,5.0
GPT4,Q8,Ambiguity,3.0
GPT4,Q8,Factuality,3.3333333333333335
GPT4,Q8,Generalization,4.0
GPT4,Q8,Irrelevance,5.0
GPT4,Q8,Narrativity,3.6666666666666665
GPT4,Q8,Recall,3.6666666666666665
GPT4,Q8,Reduction,2.6666666666666665
GPT4,Q8,Repetetion,5.0
GPT4,Q9,Ambiguity,3.6666666666666665
GPT4,Q9,Factuality,2.6666666666666665
GPT4,Q9,Generalization,3.6666666666666665
GPT4,Q9,Irrelevance,3.5
GPT4,Q9,Narrativity,3.3333333333333335
GPT4,Q9,Recall,3.6666666666666665
GPT4,Q9,Reduction,3.3333333333333335
GPT4,Q9,Repetetion,4.5
GPT5,Q1,Ambiguity,3.25
GPT5,Q1,Factuality,3.25
GPT5,Q1,Generalization,3.25
GPT5,Q1,Irrelevance,4.0
GPT5,Q1,Narrativity,3.5
GPT5,Q1,Recall,4.0
GPT5,Q1,Reduction,3.25
GPT5,Q1,Repetetion,4.0
GPT5,Q10,Ambiguity,3.3333333333333335
GPT5,Q10,Factuality,4.0
GPT5,Q10,Generalization,3.3333333333333335
GPT5,Q10,Irrelevance,4.666666666666667
GPT5,Q10,Narrativity,3.0
GPT5,Q10,Recall,4.0
GPT5,Q10,Reduction,3.6666666666666665
GPT5,Q10,Repetetion,5.0
GPT5,Q11,Ambiguity,3.3333333333333335
GPT5,Q11,Factuality,3.0
GPT5,Q11,Generalization,3.0
GPT5,Q11,Irrelevance,4.0
GPT5,Q11,Narrativity,2.6666666666666665
GPT5,Q11,Recall,3.6666666666666665
GPT5,Q11,Reduction,3.3333333333333335
GPT5,Q11,Repetetion,3.3333333333333335
GPT5,Q12,Ambiguity,3.0
GPT5,Q12,Factuality,3.3333333333333335
GPT5,Q12,Generalization,3.6666666666666665
GPT5,Q12,Irrelevance,4.0
GPT5,Q12,Narrativity,2.3333333333333335
GPT5,Q12,Recall,3.3333333333333335
GPT5,Q12,Reduction,3.3333333333333335
GPT5,Q12,Repetetion,4.0
GPT5,Q13,Ambiguity,3.0
GPT5,Q13,Factuality,2.6666666666666665
GPT5,Q13,Generalization,2.3333333333333335
GPT5,Q13,Irrelevance,2.0
GPT5,Q13,Narrativity,3.0
GPT5,Q13,Recall,3.3333333333333335
GPT5,Q13,Reduction,2.3333333333333335
GPT5,Q13,Repetetion,3.0
GPT5,Q14,Ambiguity,2.6666666666666665
GPT5,Q14,Factuality,2.6666666666666665
GPT5,Q14,Generalization,3.0
GPT5,Q14,Irrelevance,3.0
GPT5,Q14,Narrativity,2.3333333333333335
GPT5,Q14,Recall,3.3333333333333335
GPT5,Q14,Reduction,2.6666666666666665
GPT5,Q14,Repetetion,4.333333333333333
GPT5,Q15,Ambiguity,3.3333333333333335
GPT5,Q15,Factuality,3.0
GPT5,Q15,Generalization,4.0
GPT5,Q15,Irrelevance,5.0
GPT5,Q15,Narrativity,2.3333333333333335
GPT5,Q15,Recall,4.333333333333333
GPT5,Q15,Reduction,4.0
GPT5,Q15,Repetetion,4.0
GPT5,Q16,Ambiguity,3.0
GPT5,Q16,Factuality,3.6666666666666665
GPT5,Q16,Generalization,3.0
GPT5,Q16,Irrelevance,4.333333333333333
GPT5,Q16,Narrativity,2.3333333333333335
GPT5,Q16,Recall,3.6666666666666665
GPT5,Q16,Reduction,3.6666666666666665
GPT5,Q16,Repetetion,3.6666666666666665
GPT5,Q17,Ambiguity,3.3333333333333335
GPT5,Q17,Factuality,3.0
GPT5,Q17,Generalization,3.6666666666666665
GPT5,Q17,Irrelevance,4.5
GPT5,Q17,Narrativity,2.6666666666666665
GPT5,Q17,Recall,3.6666666666666665
GPT5,Q17,Reduction,3.6666666666666665
GPT5,Q17,Repetetion,3.6666666666666665
GPT5,Q18,Ambiguity,2.6666666666666665
GPT5,Q18,Factuality,3.6666666666666665
GPT5,Q18,Generalization,3.3333333333333335
GPT5,Q18,Irrelevance,4.0
GPT5,Q18,Narrativity,2.6666666666666665
GPT5,Q18,Recall,3.6666666666666665
GPT5,Q18,Reduction,3.0
GPT5,Q18,Repetetion,3.0
GPT5,Q19,Ambiguity,3.3333333333333335
GPT5,Q19,Factuality,3.3333333333333335
GPT5,Q19,Generalization,2.6666666666666665
GPT5,Q19,Irrelevance,5.0
GPT5,Q19,Narrativity,3.0
GPT5,Q19,Recall,4.0
GPT5,Q19,Reduction,3.3333333333333335
GPT5,Q19,Repetetion,3.5
GPT5,Q2,Ambiguity,3.5
GPT5,Q2,Factuality,3.0
GPT5,Q2,Generalization,3.5
GPT5,Q2,Irrelevance,5.0
GPT5,Q2,Narrativity,3.5
GPT5,Q2,Recall,3.25
GPT5,Q2,Reduction,3.5
GPT5,Q2,Repetetion,5.0
GPT5,Q20,Ambiguity,3.6666666666666665
GPT5,Q20,Factuality,2.6666666666666665
GPT5,Q20,Generalization,2.6666666666666665
GPT5,Q20,Irrelevance,3.0
GPT5,Q20,Narrativity,2.6666666666666665
GPT5,Q20,Recall,3.0
GPT5,Q20,Reduction,2.6666666666666665
GPT5,Q20,Repetetion,3.3333333333333335
GPT5,Q21,Ambiguity,4.0
GPT5,Q21,Factuality,3.6666666666666665
GPT5,Q21,Generalization,3.6666666666666665
GPT5,Q21,Irrelevance,3.0
GPT5,Q21,Narrativity,3.3333333333333335
GPT5,Q21,Recall,3.0
GPT5,Q21,Reduction,4.0
GPT5,Q21,Repetetion,3.5
GPT5,Q22,Ambiguity,3.3333333333333335
GPT5,Q22,Factuality,2.3333333333333335
GPT5,Q22,Generalization,3.0
GPT5,Q22,Irrelevance,3.3333333333333335
GPT5,Q22,Narrativity,3.3333333333333335
GPT5,Q22,Recall,3.3333333333333335
GPT5,Q22,Reduction,3.0
GPT5,Q22,Repetetion,3.0
GPT5,Q23,Ambiguity,3.0
GPT5,Q23,Factuality,2.6666666666666665
GPT5,Q23,Generalization,2.3333333333333335
GPT5,Q23,Irrelevance,3.0
GPT5,Q23,Narrativity,2.6666666666666665
GPT5,Q23,Recall,3.3333333333333335
GPT5,Q23,Reduction,2.6666666666666665
GPT5,Q23,Repetetion,2.6666666666666665
GPT5,Q24,Ambiguity,3.0
GPT5,Q24,Factuality,3.6666666666666665
GPT5,Q24,Generalization,2.6666666666666665
GPT5,Q24,Irrelevance,3.3333333333333335
GPT5,Q24,Narrativity,2.6666666666666665
GPT5,Q24,Recall,3.0
GPT5,Q24,Reduction,3.0
GPT5,Q24,Repetetion,4.0
GPT5,Q3,Ambiguity,4.333333333333333
GPT5,Q3,Factuality,3.3333333333333335
GPT5,Q3,Generalization,3.3333333333333335
GPT5,Q3,Irrelevance,3.5
GPT5,Q3,Narrativity,3.0
GPT5,Q3,Recall,4.0
GPT5,Q3,Reduction,4.0
GPT5,Q3,Repetetion,4.0
GPT5,Q4,Ambiguity,3.0
GPT5,Q4,Factuality,3.25
GPT5,Q4,Generalization,3.25
GPT5,Q4,Irrelevance,4.0
GPT5,Q4,Narrativity,3.0
GPT5,Q4,Recall,3.5
GPT5,Q4,Reduction,3.5
GPT5,Q4,Repetetion,3.0
GPT5,Q5,Ambiguity,4.0
GPT5,Q5,Factuality,3.6666666666666665
GPT5,Q5,Generalization,4.0
GPT5,Q5,Irrelevance,4.666666666666667
GPT5,Q5,Narrativity,3.0
GPT5,Q5,Recall,4.333333333333333
GPT5,Q5,Reduction,3.6666666666666665
GPT5,Q5,Repetetion,4.333333333333333
GPT5,Q6,Ambiguity,2.6666666666666665
GPT5,Q6,Factuality,3.0
GPT5,Q6,Generalization,3.0
GPT5,Q6,Irrelevance,4.0
GPT5,Q6,Narrativity,3.3333333333333335
GPT5,Q6,Recall,3.6666666666666665
GPT5,Q6,Reduction,3.0
GPT5,Q6,Repetetion,5.0
GPT5,Q7,Ambiguity,3.3333333333333335
GPT5,Q7,Factuality,2.6666666666666665
GPT5,Q7,Generalization,2.6666666666666665
GPT5,Q7,Irrelevance,3.0
GPT5,Q7,Narrativity,3.3333333333333335
GPT5,Q7,Recall,3.3333333333333335
GPT5,Q7,Reduction,3.3333333333333335
GPT5,Q7,Repetetion,3.5
GPT5,Q8,Ambiguity,2.6666666666666665
GPT5,Q8,Factuality,3.3333333333333335
GPT5,Q8,Generalization,2.6666666666666665
GPT5,Q8,Irrelevance,2.0
GPT5,Q8,Narrativity,3.0
GPT5,Q8,Recall,3.0
GPT5,Q8,Reduction,2.6666666666666665
GPT5,Q8,Repetetion,2.0
GPT5,Q9,Ambiguity,4.333333333333333
GPT5,Q9,Factuality,4.0
GPT5,Q9,Generalization,4.0
GPT5,Q9,Irrelevance,5.0
GPT5,Q9,Narrativity,2.3333333333333335
GPT5,Q9,Recall,4.0
GPT5,Q9,Reduction,3.6666666666666665
GPT5,Q9,Repetetion,4.5
RAG,Q1,Ambiguity,5.0
RAG,Q1,Factuality,5.0
RAG,Q1,Generalization,5.0
RAG,Q1,Irrelevance,5.0
RAG,Q1,Narrativity,5.0
RAG,Q1,Recall,5.0
RAG,Q1,Reduction,5.0
RAG,Q1,Repetetion,5.0
RAG,Q10,Ambiguity,5.0
RAG,Q10,Factuality,5.0
RAG,Q10,Generalization,4.666666666666667
RAG,Q10,Irrelevance,5.0
RAG,Q10,Narrativity,4.333333333333333
RAG,Q10,Recall,5.0
RAG,Q10,Reduction,5.0
RAG,Q10,Repetetion,5.0
RAG,Q11,Ambiguity,5.0
RAG,Q11,Factuality,5.0
RAG,Q11,Generalization,4.666666666666667
RAG,Q11,Irrelevance,5.0
RAG,Q11,Narrativity,4.333333333333333
RAG,Q11,Recall,5.0
RAG,Q11,Reduction,5.0
RAG,Q11,Repetetion,5.0
RAG,Q12,Ambiguity,5.0
RAG,Q12,Factuality,5.0
RAG,Q12,Generalization,4.666666666666667
RAG,Q12,Irrelevance,5.0
RAG,Q12,Narrativity,4.333333333333333
RAG,Q12,Recall,5.0
RAG,Q12,Reduction,5.0
RAG,Q12,Repetetion,5.0
RAG,Q13,Ambiguity,5.0
RAG,Q13,Factuality,5.0
RAG,Q13,Generalization,5.0
RAG,Q13,Irrelevance,5.0
RAG,Q13,Narrativity,5.0
RAG,Q13,Recall,5.0
RAG,Q13,Reduction,5.0
RAG,Q13,Repetetion,5.0
RAG,Q14,Ambiguity,5.0
RAG,Q14,Factuality,5.0
RAG,Q14,Generalization,5.0
RAG,Q14,Irrelevance,5.0
RAG,Q14,Narrativity,5.0
RAG,Q14,Recall,5.0
RAG,Q14,Reduction,5.0
RAG,Q14,Repetetion,5.0
RAG,Q15,Ambiguity,5.0
RAG,Q15,Factuality,5.0
RAG,Q15,Generalization,4.666666666666667
RAG,Q15,Irrelevance,5.0
RAG,Q15,Narrativity,4.333333333333333
RAG,Q15,Recall,5.0
RAG,Q15,Reduction,5.0
RAG,Q15,Repetetion,5.0
RAG,Q16,Ambiguity,5.0
RAG,Q16,Factuality,5.0
RAG,Q16,Generalization,4.666666666666667
RAG,Q16,Irrelevance,5.0
RAG,Q16,Narrativity,4.333333333333333
RAG,Q16,Recall,5.0
RAG,Q16,Reduction,5.0
RAG,Q16,Repetetion,5.0
RAG,Q17,Ambiguity,4.333333333333333
RAG,Q17,Factuality,5.0
RAG,Q17,Generalization,4.666666666666667
RAG,Q17,Irrelevance,5.0
RAG,Q17,Narrativity,5.0
RAG,Q17,Recall,5.0
RAG,Q17,Reduction,5.0
RAG,Q17,Repetetion,5.0
RAG,Q18,Ambiguity,5.0
RAG,Q18,Factuality,5.0
RAG,Q18,Generalization,4.666666666666667
RAG,Q18,Irrelevance,5.0
RAG,Q18,Narrativity,4.333333333333333
RAG,Q18,Recall,5.0
RAG,Q18,Reduction,5.0
RAG,Q18,Repetetion,5.0
RAG,Q19,Ambiguity,5.0
RAG,Q19,Factuality,5.0
RAG,Q19,Generalization,4.666666666666667
RAG,Q19,Irrelevance,5.0
RAG,Q19,Narrativity,4.333333333333333
RAG,Q19,Recall,5.0
RAG,Q19,Reduction,5.0
RAG,Q19,Repetetion,5.0
RAG,Q2,Ambiguity,5.0
RAG,Q2,Factuality,5.0
RAG,Q2,Generalization,4.75
RAG,Q2,Irrelevance,5.0
RAG,Q2,Narrativity,4.5
RAG,Q2,Recall,5.0
RAG,Q2,Reduction,5.0
RAG,Q2,Repetetion,5.0
RAG,Q20,Ambiguity,5.0
RAG,Q20,Factuality,5.0
RAG,Q20,Generalization,4.333333333333333
RAG,Q20,Irrelevance,5.0
RAG,Q20,Narrativity,3.6666666666666665
RAG,Q20,Recall,5.0
RAG,Q20,Reduction,5.0
RAG,Q20,Repetetion,5.0
RAG,Q21,Ambiguity,5.0
RAG,Q21,Factuality,5.0
RAG,Q21,Generalization,4.0
RAG,Q21,Irrelevance,5.0
RAG,Q21,Narrativity,5.0
RAG,Q21,Recall,5.0
RAG,Q21,Reduction,5.0
RAG,Q21,Repetetion,5.0
RAG,Q22,Ambiguity,5.0
RAG,Q22,Factuality,5.0
RAG,Q22,Generalization,4.666666666666667
RAG,Q22,Irrelevance,5.0
RAG,Q22,Narrativity,4.333333333333333
RAG,Q22,Recall,4.0
RAG,Q22,Reduction,5.0
RAG,Q22,Repetetion,5.0
RAG,Q23,Ambiguity,3.0
RAG,Q23,Factuality,5.0
RAG,Q23,Generalization,4.666666666666667
RAG,Q23,Irrelevance,5.0
RAG,Q23,Narrativity,4.333333333333333
RAG,Q23,Recall,5.0
RAG,Q23,Reduction,5.0
RAG,Q23,Repetetion,4.0
RAG,Q24,Ambiguity,5.0
RAG,Q24,Factuality,5.0
RAG,Q24,Generalization,4.666666666666667
RAG,Q24,Irrelevance,5.0
RAG,Q24,Narrativity,4.0
RAG,Q24,Recall,5.0
RAG,Q24,Reduction,5.0
RAG,Q24,Repetetion,5.0
RAG,Q3,Ambiguity,5.0
RAG,Q3,Factuality,5.0
RAG,Q3,Generalization,4.666666666666667
RAG,Q3,Irrelevance,5.0
RAG,Q3,Narrativity,4.333333333333333
RAG,Q3,Recall,4.0
RAG,Q3,Reduction,5.0
RAG,Q3,Repetetion,5.0
RAG,Q4,Ambiguity,5.0
RAG,Q4,Factuality,5.0
RAG,Q4,Generalization,4.75
RAG,Q4,Irrelevance,5.0
RAG,Q4,Narrativity,4.5
RAG,Q4,Recall,5.0
RAG,Q4,Reduction,5.0
RAG,Q4,Repetetion,5.0
RAG,Q5,Ambiguity,5.0
RAG,Q5,Factuality,5.0
RAG,Q5,Generalization,4.666666666666667
RAG,Q5,Irrelevance,5.0
RAG,Q5,Narrativity,4.333333333333333
RAG,Q5,Recall,5.0
RAG,Q5,Reduction,5.0
RAG,Q5,Repetetion,5.0
RAG,Q6,Ambiguity,5.0
RAG,Q6,Factuality,5.0
RAG,Q6,Generalization,4.666666666666667
RAG,Q6,Irrelevance,5.0
RAG,Q6,Narrativity,4.333333333333333
RAG,Q6,Recall,5.0
RAG,Q6,Reduction,5.0
RAG,Q6,Repetetion,5.0
RAG,Q7,Ambiguity,5.0
RAG,Q7,Factuality,5.0
RAG,Q7,Generalization,5.0
RAG,Q7,Irrelevance,5.0
RAG,Q7,Narrativity,4.0
RAG,Q7,Recall,5.0
RAG,Q7,Reduction,5.0
RAG,Q7,Repetetion,5.0
RAG,Q8,Ambiguity,5.0
RAG,Q8,Factuality,5.0
RAG,Q8,Generalization,5.0
RAG,Q8,Irrelevance,5.0
RAG,Q8,Narrativity,5.0
RAG,Q8,Recall,5.0
RAG,Q8,Reduction,5.0
RAG,Q8,Repetetion,5.0
RAG,Q9,Ambiguity,4.333333333333333
RAG,Q9,Factuality,5.0
RAG,Q9,Generalization,4.666666666666667
RAG,Q9,Irrelevance,5.0
RAG,Q9,Narrativity,4.333333333333333
RAG,Q9,Recall,5.0
RAG,Q9,Reduction,5.0
RAG,Q9,Repetetion,5.0
